merchant_id,business_category,account_age_days,monthly_txn_count,avg_transaction_value,monthly_txn_volume,refund_rate,chargeback_rate,volume_growth_rate_30d,customer_complaint_count,risk_score,is_risky
M00290,Fashion,1599,3806,837.75,3188463.66,0.0517,0.0065,1.73,4,20.52,0
M00291,Gaming,864,1084,3939.68,4270615.72,0.1526,0.0506,24.33,3,71.33,1
M00292,Retail,1769,4220,2576.47,10872691.33,0.0992,0.0019,55.0,2,72.01,1
M00293,Services,1258,1933,6981.21,13494688.5,0.2034,0.0303,-33.46,1,52.08,0
M00294,Education,394,1236,1699.5,2100582.1,0.0101,0.0094,-21.87,1,34.8,0
M00295,Electronics,1436,2421,2584.15,6256233.6,0.0528,0.0386,-3.46,0,20.5,0
M00296,Retail,1671,1792,1406.22,2519941.83,0.0799,0.0093,-2.58,2,33.58,0
M00297,Electronics,1163,1980,5855.82,11594514.61,0.2197,0.0038,-2.98,2,44.19,0
M00298,Retail,1086,2800,1466.17,4105264.44,0.0236,0.0289,2.19,2,38.25,0
M00299,Retail,1717,4824,6926.59,33413860.98,0.1163,0.0325,55.72,1,70.54,1
M00300,Crypto/Trading,739,4766,3335.17,15895406.85,0.1043,0.0291,-26.64,2,33.05,0
M00301,Retail,1705,2891,2900.54,8385455.51,0.1585,0.0389,9.0,2,58.31,0
M00302,Gaming,1743,680,2974.24,2022482.84,0.0545,0.0382,19.02,1,42.02,0
M00303,Services,1449,2655,2517.58,6684170.63,0.0406,0.0606,-31.29,4,49.11,0
M00304,Fashion,256,2349,11347.95,26656333.07,0.0813,0.0156,40.86,4,72.76,1
M00305,Healthcare,845,3974,3011.87,11969156.38,0.0147,0.0875,1.08,1,55.25,0
M00306,Electronics,1472,2470,2332.05,5760171.41,0.1719,0.0389,-22.09,4,68.81,1
M00307,Fashion,212,1152,4675.67,5386373.65,0.0752,0.052,43.67,3,100.0,1
M00308,Healthcare,1217,719,2006.82,1442906.19,0.0268,0.0118,22.03,0,28.78,0
M00309,Services,132,2058,549.02,1129884.41,0.0582,0.0259,-8.57,0,27.73,0
M00310,Services,410,4667,4819.94,22494650.13,0.0609,0.0272,23.13,6,72.41,1
M00311,Electronics,776,4520,4638.21,20964726.46,0.0813,0.0427,14.69,3,69.05,1
M00312,Electronics,303,4577,618.68,2831689.66,0.0585,0.0308,-33.41,1,27.57,0
M00313,Services,289,2199,6842.2,15045987.76,0.209,0.007,-30.97,2,62.15,0
M00314,Healthcare,1870,2858,2491.4,7120430.05,0.0775,0.0297,13.42,4,63.62,0
M00315,Retail,893,893,9523.16,8504184.96,0.1038,0.0301,-39.29,2,49.78,0
M00316,Education,1643,103,8144.66,838899.84,0.0487,0.0299,30.14,5,49.49,0
M00317,Travel,207,1442,502.06,723967.44,0.2058,0.0064,-29.52,1,45.29,0
M00318,Fashion,991,2695,12241.85,32991794.64,0.0362,0.0061,28.02,4,46.84,0
M00319,Crypto/Trading,1940,3200,2714.6,8686720.93,0.0975,0.0331,40.59,0,59.77,0
M00320,Fashion,1544,4336,2401.89,10414608.89,0.1652,0.0144,17.24,2,57.7,0
M00321,Crypto/Trading,761,3995,15022.71,60015725.66,0.0627,0.2115,-87.21,2,100.0,1
M00322,Healthcare,153,1411,3536.15,4989513.62,0.0539,0.0415,33.01,1,70.18,1
M00323,Crypto/Trading,618,3238,1407.57,4557721.37,0.0176,0.0296,-5.91,1,33.34,0
M00324,Electronics,1234,4227,1986.03,8394930.15,0.1192,0.0292,3.56,2,37.44,0
M00325,Education,1157,634,6383.82,4047341.19,0.1825,0.0608,-13.58,2,60.47,0
M00326,Education,196,2991,9065.79,27115769.46,0.1565,0.048,47.05,3,100.0,1
M00327,Electronics,1359,3585,6654.92,23857878.2,0.0299,0.0077,9.44,0,25.16,0
M00328,Gaming,473,3596,1959.95,7047968.97,0.036,0.0243,-5.15,2,41.0,0
M00329,Healthcare,1382,4590,3080.99,14141721.42,0.0683,0.0221,38.49,1,50.74,0
M00330,Gaming,1804,290,1264.65,366748.43,0.0555,0.0384,26.99,1,49.95,0
M00331,Gaming,669,4086,688.44,2812985.03,0.0204,0.0091,-23.31,4,32.7,0
M00332,Fashion,773,2488,11084.19,27577461.87,0.0107,0.0694,13.35,0,54.9,0
M00333,Services,964,1410,3149.52,4440817.86,0.045,0.0134,10.51,5,54.02,0
M00334,Fashion,1965,3374,4483.36,15126864.8,0.023,0.021,-31.8,0,12.57,0
M00335,Services,412,4155,2900.38,12051064.85,0.1666,0.0424,25.68,1,94.11,1
M00336,Travel,1379,3627,4357.44,15804422.14,0.0229,0.0748,4.27,5,42.26,0
M00337,Crypto/Trading,1996,2603,6990.48,18196225.43,0.0511,0.0228,58.78,6,79.4,1
M00338,Services,1544,4093,12302.86,50355595.37,0.0277,0.0452,40.24,2,73.24,1
M00339,Electronics,156,3095,8397.55,25990412.04,0.0604,0.0545,10.55,2,57.79,0
M00340,Fashion,1181,3926,2764.84,10854743.07,0.1104,0.056,2.82,4,68.09,1
M00341,Healthcare,873,309,1874.64,579263.72,0.0492,0.0056,-46.12,3,30.69,0
M00342,Crypto/Trading,1744,2500,4927.13,12317813.29,0.0136,0.0204,26.06,2,54.8,0
M00343,Travel,1853,3272,5617.97,18382003.66,0.0731,0.0111,3.29,5,33.31,0
M00344,Services,498,298,2337.62,696609.29,0.0717,0.0914,-6.69,0,61.21,0
M00345,Travel,938,2944,1786.01,5258009.09,0.0415,0.0253,5.54,3,54.83,0
M00346,Healthcare,1969,600,4822.75,2893647.51,0.1275,0.1103,43.82,2,100.0,1
M00347,Gaming,1673,4978,5990.39,29820172.49,0.2046,0.0602,39.12,1,100.0,1
M00348,Education,560,273,1241.23,338856.12,0.1903,0.0078,39.05,3,88.78,1
M00349,Healthcare,347,4296,1513.63,6502569.48,0.0707,0.0121,-20.96,3,49.67,0
M00350,Food & Beverage,881,4796,3519.74,16880687.31,0.2414,0.0042,44.49,2,87.88,1
M00351,Healthcare,650,844,1513.76,1277614.13,0.1406,0.0311,-7.25,0,46.19,0
M00352,Travel,1812,3852,5066.69,19516874.4,0.0183,0.0107,23.66,3,33.89,0
M00353,Electronics,1986,719,4942.64,3553756.72,0.069,0.0066,20.69,1,16.89,0
M00354,Fashion,482,1400,4955.02,6937029.68,0.0729,0.0263,1.48,2,41.67,0
M00355,Electronics,1979,3916,1571.97,6155817.3,0.0033,0.0339,10.36,3,57.19,0
M00356,Travel,160,1693,1361.77,2305478.2,0.0606,0.0742,-36.08,0,51.33,0
M00357,Fashion,1448,2747,3933.66,10805770.6,0.0333,0.0201,6.47,1,27.92,0
M00358,Food & Beverage,1331,3176,2110.53,6703034.32,0.018,0.013,-0.89,2,30.14,0
M00359,Education,1644,3408,1348.71,4596388.89,0.0872,0.0726,59.91,1,100.0,1
M00360,Crypto/Trading,272,4327,2115.79,9155018.86,0.0181,0.0385,5.72,1,42.35,0
M00361,Travel,1797,403,781.44,314921.23,0.1583,0.0174,-12.87,3,34.58,0
M00362,Services,153,361,5918.49,2136575.05,0.1237,0.0516,7.88,4,87.52,1
M00363,Travel,355,2007,5116.91,10269642.19,0.0935,0.024,-11.8,3,57.94,0
M00364,Travel,633,4079,3712.34,15142620.0,0.1053,0.0274,-30.47,2,57.8,0
M00365,Fashion,1026,4959,2505.37,12424146.71,0.0854,0.0283,15.3,2,62.66,0
M00366,Retail,1605,3129,4155.8,13003483.0,0.056,0.0048,5.19,6,25.0,0
M00367,Healthcare,890,4102,752.33,3086040.02,0.1644,0.0363,29.83,3,80.35,1
M00368,Retail,11,4535,1663.3,7543055.56,0.1056,0.0534,41.4,0,92.71,1
M00369,Food & Beverage,906,2818,2379.0,6704032.98,0.0615,0.0361,52.23,3,77.77,1
M00370,Services,1337,3260,5897.78,19226766.89,0.1091,0.0142,10.74,2,38.24,0
M00371,Education,263,2008,3703.32,7436267.0,0.1465,0.0073,22.29,1,68.22,1
M00372,Gaming,1685,3434,2193.58,7532745.32,0.1367,0.0021,12.04,3,47.91,0
M00373,Food & Beverage,462,1869,1115.87,2085566.53,0.0394,0.0965,-52.98,1,76.98,1
M00374,Gaming,1070,325,7744.79,2517058.35,0.0964,0.0871,35.9,4,93.55,1
M00375,Gaming,1193,3633,738.6,2683349.2,0.0544,0.0681,18.65,2,56.96,0
M00376,Education,1024,2769,7460.07,20656941.0,0.0375,0.0204,18.98,1,58.5,0
M00377,Electronics,18,4984,2963.13,14768259.86,0.1107,0.051,-7.81,3,63.86,0
M00378,Retail,1266,1155,2369.32,2736563.46,0.0504,0.0173,-11.07,1,9.61,0
M00379,Travel,1132,225,7141.14,1606756.33,0.0459,0.0083,3.3,1,27.73,0
M00380,Crypto/Trading,1692,4611,2317.37,10685385.98,0.0504,0.0128,18.95,1,25.31,0
M00381,Gaming,825,3470,8039.06,27895544.14,0.0298,0.0587,-43.81,3,45.61,0
M00382,Services,217,3831,4413.0,16906214.4,0.2128,0.0247,10.05,1,59.32,0
M00383,Food & Beverage,1164,3642,10204.31,37164106.63,0.0438,0.0539,47.21,1,86.14,1
M00384,Electronics,413,3619,2785.25,10079829.68,0.1918,0.0478,1.72,0,68.42,1
M00385,Gaming,161,2571,1597.1,4106153.51,0.0704,0.0065,-44.49,2,27.22,0
M00386,Electronics,63,4328,7897.65,34181037.12,0.0865,0.0069,0.28,1,39.91,0
M00387,Electronics,1153,329,988.39,325181.23,0.0567,0.1665,12.37,3,100.0,1
M00388,Gaming,1706,2728,2643.27,7210827.16,0.0751,0.1128,14.4,2,75.15,1
M00389,Fashion,1953,2011,4516.76,9083209.33,0.1074,0.0171,8.87,1,46.77,0
M00390,Healthcare,637,291,3837.05,1116582.84,0.0792,0.03,53.4,3,97.55,1
M00391,Services,596,3662,6890.13,25231645.89,0.0619,0.0188,8.52,1,36.8,0
M00392,Travel,1658,4106,7489.28,30750994.98,0.0656,0.0285,9.8,1,33.67,0
M00393,Travel,1453,1842,3488.79,6426344.18,0.0372,0.0247,-9.23,2,17.05,0
M00394,Services,1455,3293,1923.97,6335642.48,0.0947,0.0156,28.61,2,41.2,0
M00395,Fashion,113,4558,1625.81,7410428.11,0.0418,0.0018,47.43,1,59.83,0
M00396,Travel,1885,4369,1432.72,6259539.91,0.0866,0.0026,-10.7,2,15.56,0
M00397,Electronics,263,540,2846.2,1536946.78,0.0666,0.0163,2.28,1,49.3,0
M00398,Education,1260,996,1272.19,1267105.95,0.0596,0.0203,-53.12,1,16.46,0
M00399,Food & Beverage,1145,3742,1842.51,6894654.05,0.0212,0.0373,-15.92,1,30.45,0
M00400,Retail,519,3571,4355.7,15554187.55,0.1473,0.0453,54.23,2,100.0,1
M00401,Travel,1506,4125,3945.43,16274897.99,0.2047,0.0054,-2.43,1,35.16,0
M00402,Services,108,2793,4551.32,12711823.82,0.0474,0.0993,10.67,0,82.45,1
M00403,Education,162,2572,5794.9,14904481.53,0.0624,0.0147,-13.22,2,37.11,0
M00404,Gaming,1894,2852,2373.31,6768693.33,0.0535,0.0796,16.2,3,58.17,0
M00405,Healthcare,923,3927,6413.11,25184298.25,0.1073,0.007,0.64,2,49.31,0
M00406,Services,1929,172,2276.39,391538.47,0.0546,0.0232,15.27,4,35.69,0
M00407,Electronics,887,2984,4512.54,13465433.5,0.0629,0.0669,7.62,0,59.66,0
M00408,Healthcare,347,2936,1395.91,4098402.48,0.1056,0.0123,41.08,1,68.62,1
M00409,Food & Beverage,1739,2820,6381.33,17995356.06,0.0542,0.0167,9.21,0,15.08,0
M00410,Food & Beverage,831,1772,11919.83,21121930.15,0.1055,0.0611,-15.86,1,52.32,0
M00411,Fashion,1196,2630,2648.34,6965140.66,0.0935,0.0422,-10.91,3,66.81,1
M00412,Crypto/Trading,1753,3895,1298.88,5059126.54,0.0724,0.0483,-41.71,3,30.09,0
M00413,Fashion,966,1124,4412.67,4959835.97,0.0872,0.0276,8.14,2,41.37,0
M00414,Education,1714,2556,4213.25,10769070.42,0.0506,0.0136,3.41,1,31.45,0
M00415,Healthcare,170,4219,3704.28,15628372.24,0.0993,0.0156,42.83,1,69.18,1
M00416,Crypto/Trading,1613,3874,2465.3,9550578.39,0.0718,0.0232,-24.32,1,22.12,0
M00417,Gaming,810,3514,670.47,2356025.05,0.0533,0.0201,-12.44,4,41.01,0
M00418,Electronics,407,1934,2992.12,5786764.29,0.0182,0.0657,-12.18,2,49.13,0
M00419,Healthcare,1310,3092,4449.77,13758689.12,0.0474,0.0576,-1.34,3,50.12,0
M00420,Fashion,825,1026,2036.22,2089158.15,0.0188,0.0139,-26.52,0,18.02,0
M00421,Retail,1949,426,6616.24,2818519.22,0.0412,0.007,-1.96,1,12.53,0
M00422,Crypto/Trading,1537,186,3712.03,690437.67,0.0935,0.0189,5.47,0,29.52,0
M00423,Crypto/Trading,1929,528,2769.87,1462493.88,0.0377,0.0485,6.22,1,27.2,0
M00424,Electronics,1425,1681,947.8,1593259.5,0.0868,0.0351,36.83,3,56.46,0
M00425,Travel,1168,3684,2939.49,10829091.42,0.1168,0.0146,4.26,2,56.47,0
M00426,Food & Beverage,1228,3509,1518.61,5328810.63,0.0424,0.0341,3.66,3,33.01,0
M00427,Food & Beverage,410,4878,5379.33,26240386.1,0.0894,0.0239,33.63,5,74.6,1
M00428,Retail,649,700,3881.27,2716887.2,0.214,0.0263,4.94,3,70.67,1
M00429,Education,1066,2544,1724.16,4386265.99,0.1256,0.0042,-25.4,0,21.57,0
M00430,Education,697,2140,1270.36,2718565.23,0.1435,0.0244,-21.94,2,57.63,0
M00431,Gaming,469,4697,1352.33,6351912.0,0.1541,0.0335,-21.7,4,65.86,1
M00432,Healthcare,964,4377,581.19,2543862.73,0.1369,0.049,-25.47,1,51.31,0
M00433,Services,1916,1383,6573.87,9091659.01,0.0159,0.0218,54.96,1,54.89,0
M00434,Travel,479,1351,4457.86,6022571.23,0.0527,0.0748,-21.8,1,46.42,0
M00435,Fashion,1408,2312,993.62,2297259.1,0.1221,0.0609,3.96,3,63.26,0
M00436,Services,1055,1558,6136.66,9560923.73,0.0914,0.035,6.37,0,43.34,0
M00437,Services,759,3428,2443.63,8376755.86,0.1147,0.0228,0.58,5,49.04,0
M00438,Crypto/Trading,1703,580,2120.01,1229607.85,0.0698,0.0579,-14.49,1,43.79,0
M00439,Retail,47,1119,1733.47,1939748.73,0.0511,0.0124,16.38,2,63.91,0
M00440,Food & Beverage,239,1923,1403.3,2698550.47,0.1659,0.0257,-33.1,1,55.9,0
M00441,Gaming,1398,194,3943.16,764972.79,0.0407,0.0524,-21.65,1,34.09,0
M00442,Education,572,2176,6871.67,14952763.8,0.2956,0.0031,33.05,2,84.61,1
M00443,Retail,447,2250,7075.71,15920346.26,0.0322,0.0062,-22.44,2,27.59,0
M00444,Crypto/Trading,1809,4307,2008.7,8651475.33,0.1047,0.0265,37.44,1,57.79,0
M00445,Fashion,1316,4180,733.26,3065010.19,0.048,0.026,39.57,2,53.74,0
M00446,Gaming,36,3940,4922.72,19395535.43,0.0516,0.0101,40.07,1,70.1,1
M00447,Crypto/Trading,235,1517,3433.74,5208985.02,0.1133,0.0027,26.1,1,61.79,0
M00448,Food & Beverage,1310,3874,8607.97,33347271.56,0.1091,0.0426,-29.48,2,46.9,0
M00449,Food & Beverage,807,3191,7311.73,23331726.19,0.006,0.0152,-33.46,1,19.02,0
M00450,Food & Beverage,1642,1587,3456.36,5485235.47,0.097,0.017,-22.99,4,44.31,0
M00451,Retail,293,1171,10397.46,12175430.54,0.0488,0.0398,-18.81,1,29.32,0
M00452,Retail,888,388,4160.66,1614336.14,0.3904,0.0596,-27.5,1,82.89,1
M00453,Education,969,4966,2789.05,13850425.38,0.0937,0.0509,-12.1,2,52.52,0
M00454,Education,1514,62,462.91,28700.65,0.011,0.0306,24.24,1,51.27,0
M00455,Fashion,462,1927,1431.65,2758787.09,0.0849,0.0134,21.27,1,54.45,0
M00456,Gaming,1029,3510,2892.53,10152777.55,0.1611,0.0205,12.39,3,62.01,0
M00457,Electronics,1862,2555,2587.11,6610059.05,0.1049,0.0611,-0.37,1,36.16,0
M00458,Electronics,825,4193,4540.11,19036664.36,0.0036,0.0093,3.29,2,7.5,0
M00459,Crypto/Trading,668,2893,2116.09,6121852.38,0.0422,0.0267,12.53,3,41.53,0
M00460,Food & Beverage,1549,1844,6362.66,11732747.14,0.1723,0.07,-6.83,2,69.51,1
M00461,Gaming,556,1313,4612.08,6055659.1,0.0971,0.0189,29.43,0,47.53,0
M00462,Services,1225,4789,6624.46,31724550.54,0.0853,0.0388,-27.87,1,32.23,0
M00463,Retail,1082,4816,3631.14,17487574.12,0.0434,0.0545,-14.42,3,33.97,0
M00464,Healthcare,1545,4874,7235.26,35264639.06,0.0297,0.0844,-18.14,2,41.53,0
M00465,Travel,26,3406,2317.07,7891934.65,0.1686,0.0962,16.44,2,100.0,1
M00466,Fashion,1205,2992,2430.37,7271673.32,0.0998,0.0752,-25.01,2,54.16,0
M00467,Food & Beverage,1253,3942,2966.28,11693074.03,0.1033,0.0583,-17.93,3,62.61,0
M00468,Food & Beverage,167,1012,8118.06,8215481.7,0.0307,0.0289,15.61,0,42.36,0
M00469,Food & Beverage,486,2406,1412.88,3399382.19,0.1911,0.0141,-16.72,3,69.97,1
M00470,Retail,1079,2260,3628.73,8200922.94,0.0116,0.0178,25.96,4,53.62,0
M00471,Retail,1406,1496,4406.02,6591398.86,0.0159,0.0191,25.37,2,38.55,0
M00472,Travel,527,3427,2506.95,8591331.57,0.0322,0.0344,-8.45,4,44.04,0
M00473,Services,108,409,1005.2,411125.98,0.1113,0.042,8.19,1,50.46,0
M00474,Gaming,1925,1019,4847.89,4940002.54,0.124,0.0144,56.48,2,72.22,1
M00475,Food & Beverage,1778,4640,553.49,2568197.66,0.1269,0.0289,26.8,2,71.63,1
M00476,Electronics,1070,1875,4248.72,7966348.33,0.0721,0.0523,17.35,2,63.8,0
M00477,Education,289,678,6224.39,4220136.94,0.1577,0.0357,43.8,2,79.35,1
M00478,Electronics,1382,2783,3388.29,9429606.95,0.0489,0.0084,-19.09,3,24.52,0
M00479,Crypto/Trading,506,3683,6528.7,24045215.33,0.0559,0.0272,36.4,1,67.69,1
M00480,Electronics,311,1501,3647.0,5474143.16,0.0222,0.0718,13.89,1,69.06,1
M00481,Crypto/Trading,190,3751,4243.55,15917572.2,0.1692,0.0565,41.43,4,100.0,1
M00482,Healthcare,616,471,3018.22,1421581.95,0.0544,0.0506,-8.05,0,41.27,0
M00483,Education,1132,2495,7637.65,19055943.41,0.1124,0.0282,39.81,3,85.94,1
M00484,Electronics,709,3242,4281.35,13880138.73,0.1083,0.0083,-38.56,4,42.55,0
M00485,Healthcare,1002,1557,1625.2,2530442.83,0.1158,0.0548,-4.4,4,55.43,0
M00486,Fashion,1149,3113,8097.9,25208763.86,0.0604,0.0452,11.81,1,54.81,0
M00487,Gaming,200,902,10606.21,9566805.38,0.1693,0.0147,21.42,3,82.24,1
M00488,Healthcare,262,4428,2756.03,12203722.35,0.0391,0.0214,-47.33,2,20.53,0
M00489,Gaming,990,4088,7218.72,29510130.76,0.1854,0.0225,-26.14,2,54.98,0
M00490,Electronics,937,4955,2028.36,10050540.2,0.0343,0.0268,-22.09,3,27.45,0
M00491,Services,1194,2586,5523.16,14282891.63,0.184,0.0233,-18.39,1,51.16,0
M00492,Healthcare,1289,3297,10575.63,34867857.79,0.1953,0.0264,-13.76,5,69.56,1
M00493,Education,1356,394,11202.9,4413944.15,0.1296,0.0337,9.12,1,54.63,0
M00494,Electronics,137,4566,4319.78,19724121.82,0.1214,0.0264,41.91,6,100.0,1
M00495,Food & Beverage,27,3717,4627.28,17199586.95,0.0774,0.0191,-4.38,2,39.7,0
M00496,Retail,1826,3082,2599.86,8012770.38,0.257,0.0129,43.65,0,76.7,1
M00497,Healthcare,1768,4710,2167.57,10209268.21,0.2441,0.0204,7.12,3,66.56,1
M00498,Education,575,3270,2621.01,8570716.03,0.0472,0.0176,-0.35,4,40.93,0
M00499,Fashion,579,4615,1596.43,7367527.13,0.0184,0.0326,31.13,3,51.57,0
M00500,Food & Beverage,1356,4579,4433.09,20299140.35,0.1416,0.0389,1.1,3,60.27,0
M00501,Fashion,1905,132,3174.88,419083.6,0.0669,0.0095,-14.55,3,12.08,0
M00502,Electronics,695,3217,2895.33,9314276.09,0.1469,0.0085,38.15,3,80.6,1
M00503,Retail,1825,2398,7776.91,18649035.39,0.1855,0.021,4.04,0,42.88,0
M00504,Healthcare,635,1944,1365.73,2654983.12,0.0659,0.0338,49.78,1,89.32,1
M00505,Healthcare,1321,159,2093.69,332896.46,0.0734,0.0306,-3.87,3,37.16,0
M00506,Services,1976,1444,2378.9,3435128.79,0.0896,0.0438,-28.29,3,23.97,0
M00507,Services,863,2969,7567.66,22468369.19,0.0222,0.0515,-14.24,0,36.47,0
M00508,Electronics,1696,3188,3451.96,11004863.25,0.0721,0.0158,-11.77,2,28.83,0
M00509,Electronics,971,536,6071.61,3254383.75,0.0742,0.0201,2.61,2,46.15,0
M00510,Retail,1672,2636,4336.7,11431531.28,0.0556,0.0758,-14.86,0,37.7,0
M00511,Services,164,907,3923.58,3558685.65,0.0409,0.0214,-26.32,4,50.7,0
M00512,Education,499,3124,5051.62,15781248.81,0.0501,0.038,-3.07,3,53.92,0
M00513,Education,1419,69,4921.53,339585.56,0.0686,0.0526,7.29,3,46.12,0
M00514,Retail,794,3971,699.99,2779642.82,0.0304,0.0096,15.29,1,38.23,0
M00515,Education,1137,3580,7077.94,25339032.43,0.1242,0.0102,4.58,2,29.23,0
M00516,Crypto/Trading,1962,38,12761.27,484928.13,0.0496,0.0485,39.15,1,66.06,1
M00517,Gaming,1426,4841,2232.87,10809311.11,0.0678,0.0386,6.54,1,41.37,0
M00518,Retail,1844,1493,6330.06,9450784.9,0.1301,0.0289,-49.59,4,34.73,0
M00519,Retail,255,4081,2117.56,8641768.52,0.0638,0.0515,11.26,0,53.45,0
M00520,Travel,1209,2626,1727.41,4536174.27,0.115,0.1227,5.19,3,96.08,1
M00521,Food & Beverage,1072,471,4516.28,2127168.59,0.0718,0.0293,23.38,2,58.05,0
M00522,Food & Beverage,1510,3785,2007.32,7597710.78,0.0294,0.0063,-22.98,3,15.36,0
M00523,Crypto/Trading,1715,2458,3557.98,8745523.29,0.0761,0.0607,31.54,3,66.62,1
M00524,Services,768,4330,9380.2,40616286.25,0.044,0.0177,11.67,2,49.37,0
M00525,Electronics,547,1569,7499.98,11767472.59,0.0553,0.0328,8.39,3,47.71,0
M00526,Electronics,1900,3494,5107.56,17845800.29,0.158,0.0174,28.46,0,56.18,0
M00527,Fashion,1851,147,2499.98,367497.39,0.1403,0.0914,33.99,2,88.98,1
M00528,Crypto/Trading,930,4875,6806.32,33180815.62,0.0694,0.029,31.55,1,43.24,0
M00529,Retail,417,2781,4260.66,11848883.75,0.1262,0.0084,-53.64,2,38.88,0
M00530,Crypto/Trading,534,4476,3319.49,14858054.15,0.2178,0.0016,-30.56,1,60.08,0
M00531,Crypto/Trading,837,4684,6473.72,30322909.65,0.1291,0.0155,-5.99,1,57.33,0
M00532,Crypto/Trading,1539,1435,5033.46,7223008.68,0.0226,0.0205,-24.72,1,13.03,0
M00533,Food & Beverage,912,221,3817.38,843641.87,0.0804,0.0069,-12.38,4,40.37,0
M00534,Crypto/Trading,1858,2389,4611.6,11017122.68,0.0495,0.0421,3.72,1,50.26,0
M00535,Gaming,45,537,748.95,402187.58,0.0365,0.0195,-6.75,2,48.42,0
M00536,Electronics,694,1361,3108.19,4230244.33,0.0945,0.0149,4.4,3,36.02,0
M00537,Fashion,29,4796,4038.48,19368530.41,0.0482,0.0378,38.99,0,71.12,1
M00538,Gaming,330,2008,2226.3,4470412.96,0.0759,0.0063,49.52,1,75.27,1
M00539,Fashion,1809,3565,1168.59,4166018.75,0.1384,0.0109,14.33,1,51.69,0
M00540,Travel,521,4540,3408.58,15474959.58,0.0207,0.0138,38.38,0,44.47,0
M00541,Fashion,409,3822,832.96,3183554.15,0.1368,0.0014,-4.97,1,46.2,0
M00542,Electronics,663,3295,317.03,1044599.57,0.1025,0.0869,-10.62,4,81.14,1
M00543,Electronics,981,3674,939.51,3451750.08,0.0589,0.084,3.12,2,58.69,0
M00544,Crypto/Trading,1916,2454,1645.99,4039261.65,0.1474,0.1016,-2.81,2,86.76,1
M00545,Healthcare,480,4893,1232.08,6028586.82,0.1243,0.0271,21.89,2,60.92,0
M00546,Travel,1176,227,4792.2,1087829.05,0.113,0.0332,5.36,2,51.68,0
M00547,Retail,1125,2653,1978.56,5249122.92,0.1247,0.0457,42.73,1,84.51,1
M00548,Education,1387,4137,2156.99,8923455.45,0.0055,0.0411,7.99,2,38.79,0
M00549,Fashion,843,173,7229.56,1250714.54,0.0799,0.1013,-12.68,0,73.33,1
M00550,Healthcare,1833,3386,14843.58,50260359.51,0.0856,0.059,-6.82,2,33.38,0
M00551,Crypto/Trading,736,4334,10553.34,45738164.96,0.0408,0.0398,-9.85,2,41.95,0
M00552,Food & Beverage,1992,4784,510.61,2442756.84,0.1078,0.0536,23.28,4,84.09,1
M00553,Retail,863,1538,10427.22,16037071.54,0.0582,0.0516,2.37,2,55.01,0
M00554,Services,60,2620,3728.45,9768542.11,0.0583,0.0169,7.96,2,41.98,0
M00555,Healthcare,1698,2215,2298.86,5091985.01,0.0358,0.0239,15.46,3,32.93,0
M00556,Food & Beverage,1731,4518,10186.72,46023582.13,0.0232,0.0329,18.48,6,56.28,0
M00557,Travel,584,4711,4494.47,21173431.41,0.0397,0.0424,31.45,2,64.32,0
M00558,Crypto/Trading,1223,3574,2861.25,10226121.32,0.106,0.0204,13.4,1,44.41,0
M00559,Retail,1158,2434,3138.07,7638057.64,0.0635,0.0073,-18.98,3,23.93,0
M00560,Retail,159,2869,1936.95,5557110.12,0.2217,0.0168,-7.16,3,83.97,1
M00561,Retail,323,1762,1054.79,1858531.19,0.2705,0.0535,-7.18,2,87.49,1
M00562,Travel,579,1326,2925.81,3879624.85,0.0857,0.0411,-13.19,1,46.91,0
M00563,Fashion,1375,3869,5151.07,19929485.75,0.1681,0.046,30.95,4,73.59,1
M00564,Services,314,4188,2617.6,10962497.98,0.0427,0.0297,1.29,1,32.56,0
M00565,Travel,1725,4596,3331.9,15313399.49,0.1612,0.012,9.46,2,44.81,0
M00566,Education,691,4675,2071.16,9682659.93,0.0456,0.019,13.36,4,49.72,0
M00567,Services,847,4860,1989.6,9669441.8,0.0142,0.009,10.23,3,47.73,0
M00568,Electronics,1816,4215,5693.04,23996179.81,0.0856,0.0138,12.75,0,31.38,0
M00569,Crypto/Trading,1087,2575,3326.93,8566856.43,0.1428,0.0092,65.2,4,100.0,1
M00570,Travel,1012,2325,7125.69,16567237.15,0.0117,0.047,21.91,1,52.39,0
M00571,Food & Beverage,453,4528,2659.15,12040632.21,0.0781,0.0087,-18.02,5,52.54,0
M00572,Services,622,1108,2847.64,3155180.2,0.1291,0.0349,12.91,2,50.1,0
M00573,Education,1002,2662,12002.57,31950829.89,0.0902,0.0299,7.64,3,40.53,0
M00574,Electronics,273,1197,4166.65,4987476.99,0.037,0.0092,-29.72,3,42.88,0
M00575,Fashion,1086,4936,1291.06,6372685.33,0.1301,0.0463,-54.6,3,68.13,1
M00576,Food & Beverage,1605,4777,2884.98,13781543.32,0.029,0.0116,8.54,0,6.12,0
M00577,Services,1013,3014,6621.84,19958226.47,0.1122,0.0202,-2.0,3,43.87,0
M00578,Crypto/Trading,1653,579,757.27,438456.84,0.1,0.0055,-23.72,0,8.69,0
M00579,Food & Beverage,14,2984,7353.7,21943427.78,0.1321,0.0474,-8.52,2,59.33,0
M00580,Electronics,1136,1291,2377.91,3069883.64,0.1044,0.0202,-1.48,1,20.17,0
